name,distance,mass,radius
Sun,0.000015813,1,1
Sirius,0008.6,2.1,1.71
Canopus,0310,15,71
Alpha Centauri,0004.4,1.1,1.2
Arcturus,0037,1.1,26
Vega,0025,2.2,2.7
Capella,0043,2.6,12
Rigel,0860,23,78.9
Procyon,0011.4,1.5,1.9
Betelgeuse,0640[1],20,950
Achernar,0144,6.7,9.3
Hadar,0390,10.5,8.6
Altair,0017,1.8,1.8
Acrux,0320,18,8.9
Aldebaran,0065,1.5,44
Antares,0600,12,680
Spica,0260,11.43,7.47
Pollux,0034,1.9,8.8
Fomalhaut,0025,1.9,1.8
Deneb,"2,600",19,203
Mimosa,0350,16,8.4
Regulus,0077,3.8,3.1
Adhara,0430,12.5,14
Shaula,0700,14.5,8.8
Castor,0052,2.8,2.4
Gacrux,0088,1.5,84
Bellatrix,0240,8.6,5.8
Elnath,0130,5.0,4.2
Miaplacidus,0110,3.5,6.8
Alnilam,"2,000",32,42
Gamma Velorum,"01,100",9.0,6
Alnair,0101,4.0,3.4
Alioth,0081,2.9,4.2
Alnitak,01050,33,20
Dubhe,0120,4.25,30
Mirfak,0590,8.5,68
Wezen,"1,600",17,200
Sargas,0270,5.7,26
Kaus Australis,0140,3.5,6.8
Avior,0630,9.0,130
Alkaid,0104,6.1,3.4
Menkalinan,081,2.39,2.77
Atria,0390,7,92
Alhena,0109,2.8,3.3
Peacock,0180,5.9,4.8
Alsephina[2],0080,2.4,2.9
Mirzam,0500,13.5,10
Polaris,0430,5.4,39
Alphard,0180,3.0,50
Mintaka,01200,24,16.5
Scheat,0196,2.1,95
Almaaz,0653,15,140
Rasalgethi,0360,2.8,280
Tau Ceti,011.9,0.783,0.893
Delta Pavonis,019.92,0.991,1.22
Ran,010.48,0.82,0.74
V382 Carinae,"08,900",20,485
Eta Carinae,"07,500",100,60 - 881
Delta Cephei,0887,4.5,44.5
Mu Cephei,"06,000",19.2,972
Titawin,044.25,1.27,1.48
Rho Cassiopeiae,"08,154",22,636-981
P Cygni,"05,545",30,76
La Superba,"01,000",,129 - 342
VV Cephei,"04,900",18.2,"516 - 1,050"
61 Cygni,011.41,0.7,0.665
R Doradus,0178,0.7 - 1.0,298
Polaris Australis,0281,1.59,3.74
R Coronae Borealis,"04,566",0.85,85
54 Piscium,036.1,0.76,0.94
Mira,0300,1.2,370
RW Cephei,"014,000",13.9,"1,158"
Lacaille 8760,012.87,0.6,0.51
V838 Monocerotis,"019,896",?,380 - 750
HD 140283,0190,?,1.4
II Pegasi,0130,0.8,3.4
VY Canis Majoris,"03,900",17,"1,420"
Pistol Star,"025,000",100,320
S Doradus,"0169,000",24,380
UY Scuti,"05,100",7 - 10,755
Barnard's Star,05.98,0.14,0.20
Luhman 16,06.52,0.04,?
Proxima Centauri,04.25,0.12,0.15
KIC 8462852,"01,470",1.43,1.58
R136a1,"0163,000",290,32
Melnick 42,"0163,000",189,21.1
WR 102,"018,134",19,0.39
VFTS 352,"0164,000",57.48,14.47
YBP 1194,"02,772",1.01,0.99
Gliese 1214,047.5,0.16,0.21
NML Cygni,"05,251",50,"1,640 - 2,770"
VB 10,018.72,0.075,0.10
WOH G64,"0163,000",<20,"1,540 - 1,730"
TRAPPIST-1,039.6,0.089,0.12
2MASS J0523-1403,040.3,0.07,0.086
WISE 0855−0714,07.27,0.003,?
Icarus,"014,400,000,000",33,?
